"","date","zip","num_odor_complaints"
"13430",2021-07-28,91750,1
"13431",2021-07-28,91803,1
"13432",2021-07-28,92605,1
"13433",2021-07-28,92865,7
"13434",2021-07-28,92880,2
"13435",2021-07-28,NA,5
"13436",2021-07-29,90023,3
"13437",2021-07-29,90031,1
"13438",2021-07-29,90032,2
"13439",2021-07-29,90033,2
"13440",2021-07-29,90045,2
"13441",2021-07-29,90063,1
"13442",2021-07-29,90245,72
"13443",2021-07-29,90404,2
"13444",2021-07-29,90601,1
"13445",2021-07-29,90706,1
"13446",2021-07-29,90805,1
"13447",2021-07-29,91303,1
"13448",2021-07-29,91384,6
"13449",2021-07-29,91745,2
"13450",2021-07-29,91746,1
"13451",2021-07-29,91803,1
"13452",2021-07-29,92859,1
"13453",2021-07-29,NA,1
"13454",2021-07-30,90023,2
"13455",2021-07-30,90033,1
"13456",2021-07-30,90045,1
"13457",2021-07-30,90058,1
"13458",2021-07-30,90063,3
"13459",2021-07-30,90094,1
"13460",2021-07-30,90245,65
"13461",2021-07-30,90277,1
"13462",2021-07-30,90303,2
"13463",2021-07-30,90604,2
"13464",2021-07-30,90723,1
"13465",2021-07-30,90802,1
"13466",2021-07-30,91384,3
"13467",2021-07-30,91724,1
"13468",2021-07-30,91746,2
"13469",2021-07-30,91754,1
"13470",2021-07-30,92605,1
"13471",2021-07-30,NA,3
"13472",2021-07-31,90023,2
"13473",2021-07-31,90031,1
"13474",2021-07-31,90032,1
"13475",2021-07-31,90033,1
"13476",2021-07-31,90043,2
"13477",2021-07-31,90045,2
"13478",2021-07-31,90058,1
"13479",2021-07-31,90065,1
"13480",2021-07-31,90094,1
"13481",2021-07-31,90245,84
"13482",2021-07-31,90291,1
"13483",2021-07-31,90293,2
"13484",2021-07-31,90604,3
"13485",2021-07-31,91344,1
"13486",2021-07-31,91384,4
"13487",2021-07-31,91730,1
"13488",2021-07-31,91744,1
"13489",2021-07-31,92806,1
"13490",2021-07-31,NA,2
"13491",2021-08-01,90003,1
"13492",2021-08-01,90043,3
"13493",2021-08-01,90045,12
"13494",2021-08-01,90245,133
"13495",2021-08-01,90278,1
"13496",2021-08-01,90293,17
"13497",2021-08-01,90303,1
"13498",2021-08-01,90604,3
"13499",2021-08-01,90740,7
"13500",2021-08-01,90745,1
"13501",2021-08-01,90802,1
"13502",2021-08-01,90803,6
"13503",2021-08-01,90814,1
"13504",2021-08-01,91342,7
"13505",2021-08-01,91344,1
"13506",2021-08-01,92595,1
"13507",2021-08-01,92647,1
"13508",2021-08-01,NA,1
"13509",2021-08-02,90003,1
"13510",2021-08-02,90004,1
"13511",2021-08-02,90016,1
"13512",2021-08-02,90023,1
"13513",2021-08-02,90035,1
"13514",2021-08-02,90043,2
"13515",2021-08-02,90044,1
"13516",2021-08-02,90045,12
"13517",2021-08-02,90058,1
"13518",2021-08-02,90063,1
"13519",2021-08-02,90245,229
"13520",2021-08-02,90246,1
"13521",2021-08-02,90251,1
"13522",2021-08-02,90291,3
"13523",2021-08-02,90293,21
"13524",2021-08-02,90301,4
"13525",2021-08-02,90302,1
"13526",2021-08-02,90303,4
"13527",2021-08-02,90305,3
"13528",2021-08-02,90604,2
"13529",2021-08-02,90745,2
"13530",2021-08-02,90803,1
"13531",2021-08-02,91310,2
"13532",2021-08-02,91342,2
"13533",2021-08-02,91384,3
"13534",2021-08-02,91711,1
"13535",2021-08-02,91746,1
"13536",2021-08-02,92407,1
"13537",2021-08-02,92620,1
"13538",2021-08-02,92704,1
"13539",2021-08-02,92780,1
"13540",2021-08-02,NA,3
"13541",2021-08-03,90008,1
"13542",2021-08-03,90011,1
"13543",2021-08-03,90013,1
"13544",2021-08-03,90018,3
"13545",2021-08-03,90022,1
"13546",2021-08-03,90023,6
"13547",2021-08-03,90032,2
"13548",2021-08-03,90035,1
"13549",2021-08-03,90043,2
"13550",2021-08-03,90045,13
"13551",2021-08-03,90047,1
"13552",2021-08-03,90056,1
"13553",2021-08-03,90058,1
"13554",2021-08-03,90063,5
"13555",2021-08-03,90066,2
"13556",2021-08-03,90094,2
"13557",2021-08-03,90230,1
"13558",2021-08-03,90245,136
"13559",2021-08-03,90250,1
"13560",2021-08-03,90291,1
"13561",2021-08-03,90293,5
"13562",2021-08-03,90301,1
"13563",2021-08-03,90302,3
"13564",2021-08-03,90303,1
"13565",2021-08-03,90305,1
"13566",2021-08-03,90601,1
"13567",2021-08-03,90604,2
"13568",2021-08-03,90624,1
"13569",2021-08-03,90740,1
"13570",2021-08-03,90803,1
"13571",2021-08-03,91342,5
"13572",2021-08-03,91384,5
"13573",2021-08-03,91746,2
"13574",2021-08-03,91754,1
"13575",2021-08-03,91765,1
"13576",2021-08-03,NA,2
"13577",2021-08-04,90022,1
"13578",2021-08-04,90023,7
"13579",2021-08-04,90058,2
"13580",2021-08-04,90062,1
"13581",2021-08-04,90063,2
"13582",2021-08-04,90232,1
"13583",2021-08-04,90245,58
"13584",2021-08-04,90265,1
"13585",2021-08-04,90277,2
"13586",2021-08-04,90291,1
"13587",2021-08-04,90293,3
"13588",2021-08-04,90303,2
"13589",2021-08-04,90604,2
"13590",2021-08-04,90640,1
"13591",2021-08-04,90740,2
"13592",2021-08-04,90805,1
"13593",2021-08-04,91342,6
"13594",2021-08-04,91344,1
"13595",2021-08-04,91384,9
"13596",2021-08-04,91754,1
"13597",2021-08-04,91765,1
"13598",2021-08-04,91803,1
"13599",2021-08-04,92602,2
"13600",2021-08-04,92605,1
"13601",2021-08-04,92620,2
"13602",2021-08-04,92649,1
"13603",2021-08-04,92662,1
"13604",2021-08-04,92683,1
"13605",2021-08-04,NA,1
"13606",2021-08-05,90002,2
"13607",2021-08-05,90027,1
"13608",2021-08-05,90033,1
"13609",2021-08-05,90058,2
"13610",2021-08-05,90061,1
"13611",2021-08-05,90063,1
"13612",2021-08-05,90094,1
"13613",2021-08-05,90245,43
"13614",2021-08-05,90293,1
"13615",2021-08-05,90302,3
"13616",2021-08-05,90303,1
"13617",2021-08-05,90604,2
"13618",2021-08-05,90744,1
"13619",2021-08-05,91344,2
"13620",2021-08-05,91384,2
"13621",2021-08-05,92570,1
"13622",2021-08-05,NA,3
"13623",2021-08-06,90023,4
"13624",2021-08-06,90026,1
"13625",2021-08-06,90045,1
"13626",2021-08-06,90063,3
"13627",2021-08-06,90230,2
"13628",2021-08-06,90232,1
"13629",2021-08-06,90245,20
"13630",2021-08-06,90293,1
"13631",2021-08-06,90604,2
"13632",2021-08-06,90710,1
"13633",2021-08-06,90803,1
"13634",2021-08-06,91342,2
"13635",2021-08-06,91384,6
"13636",2021-08-06,91701,1
"13637",2021-08-06,92649,1
"13638",2021-08-06,92859,1
"13639",2021-08-07,90023,1
"13640",2021-08-07,90245,42
"13641",2021-08-07,90293,2
"13642",2021-08-07,90604,3
"13643",2021-08-07,90710,1
"13644",2021-08-07,90805,3
"13645",2021-08-07,91302,1
"13646",2021-08-07,91406,1
"13647",2021-08-07,92324,2
"13648",2021-08-07,92585,2
"13649",2021-08-07,NA,1
"13650",2021-08-08,90245,40
"13651",2021-08-08,90293,1
"13652",2021-08-08,90604,1
"13653",2021-08-08,91324,1
"13654",2021-08-08,91326,1
"13655",2021-08-08,91344,5
"13656",2021-08-08,91406,1
"13657",2021-08-08,92880,1
"13658",2021-08-08,NA,1
"13659",2021-08-09,90003,1
"13660",2021-08-09,90045,1
"13661",2021-08-09,90058,1
"13662",2021-08-09,90063,1
"13663",2021-08-09,90245,12
"13664",2021-08-09,90266,1
"13665",2021-08-09,90293,2
"13666",2021-08-09,90604,2
"13667",2021-08-09,90744,1
"13668",2021-08-09,90805,4
"13669",2021-08-09,91342,7
"13670",2021-08-09,91343,1
"13671",2021-08-09,91353,1
"13672",2021-08-09,91384,3
"13673",2021-08-09,92620,2
"13674",2021-08-09,92869,1
"13675",2021-08-10,90063,2
"13676",2021-08-10,90221,2
"13677",2021-08-10,90245,11
"13678",2021-08-10,90277,1
"13679",2021-08-10,90604,1
"13680",2021-08-10,90707,1
"13681",2021-08-10,90803,1
"13682",2021-08-10,91104,2
"13683",2021-08-10,91384,6
"13684",2021-08-10,92620,1
"13685",2021-08-11,90022,1
"13686",2021-08-11,90023,1
"13687",2021-08-11,90040,2
"13688",2021-08-11,90058,2
"13689",2021-08-11,90063,2
"13690",2021-08-11,90245,9
"13691",2021-08-11,90604,3
"13692",2021-08-11,90744,1
"13693",2021-08-11,90746,1
"13694",2021-08-11,91303,1
"13695",2021-08-11,91342,10
"13696",2021-08-11,91344,9
"13697",2021-08-11,91504,1
"13698",2021-08-11,91803,1
"13699",2021-08-11,92646,1
"13700",2021-08-11,92673,1
"13701",2021-08-12,90004,1
"13702",2021-08-12,90018,1
"13703",2021-08-12,90023,4
"13704",2021-08-12,90221,1
"13705",2021-08-12,90245,16
"13706",2021-08-12,90604,2
"13707",2021-08-12,90744,1
"13708",2021-08-12,90805,2
"13709",2021-08-12,91310,1
"13710",2021-08-12,91342,2
"13711",2021-08-12,91384,6
"13712",2021-08-12,92620,1
"13713",2021-08-12,92648,1
"13714",2021-08-13,90013,1
"13715",2021-08-13,90046,1
"13716",2021-08-13,90058,2
"13717",2021-08-13,90245,7
"13718",2021-08-13,90278,1
"13719",2021-08-13,90293,1
"13720",2021-08-13,91040,1
"13721",2021-08-13,91311,1
"13722",2021-08-13,91326,3
"13723",2021-08-13,91353,1
"13724",2021-08-13,91606,1
