"","zip","date","num_odor_complaints"
"11296",91310,2019-01-18,1
"11297",91310,2019-02-19,1
"11298",91310,2019-03-08,2
"11299",91310,2019-03-27,1
"11300",91310,2019-04-17,1
"11301",91310,2019-05-02,1
"11302",91310,2019-06-10,1
"11303",91310,2019-07-31,4
"11304",91310,2019-08-02,1
"11305",91310,2019-08-06,1
"11306",91310,2019-08-07,1
"11307",91310,2019-08-08,1
"11308",91310,2019-08-09,1
"11309",91310,2019-08-10,1
"11310",91310,2019-08-20,1
"11311",91310,2019-08-22,1
"11312",91310,2019-08-30,1
"11313",91310,2019-09-02,1
"11314",91310,2019-09-10,1
"11315",91310,2019-09-11,1
"11316",91310,2019-09-12,2
"11317",91310,2019-09-13,1
"11318",91310,2019-09-17,1
"11319",91310,2019-09-18,3
"11320",91310,2019-09-20,1
"11321",91310,2019-09-23,2
"11322",91310,2019-09-30,1
"11323",91310,2019-10-25,1
"11324",91310,2019-11-04,1
"11325",91310,2019-11-07,1
"11326",91310,2019-11-11,1
"11327",91310,2019-11-12,1
"11328",91310,2019-11-18,1
"11329",91310,2019-11-20,1
"11330",91310,2019-11-25,1
"11331",91310,2019-12-10,1
"11332",91310,2019-12-13,1
"11333",91310,2019-12-14,1
"11334",91310,2019-12-18,2
"11335",91310,2019-12-21,4
"11336",91310,2019-12-28,2
"11337",91310,2020-01-13,3
"11338",91310,2020-01-14,1
"11339",91310,2020-01-21,1
"11340",91310,2020-03-30,1
"11341",91310,2020-04-04,1
"11342",91310,2020-05-17,2
"11343",91310,2020-05-26,1
"11344",91310,2020-05-27,3
"11345",91310,2020-06-01,1
"11346",91310,2020-06-02,2
"11347",91310,2020-06-04,2
"11348",91310,2020-06-12,1
"11349",91310,2020-06-15,2
"11350",91310,2020-06-17,1
"11351",91310,2020-06-23,1
"11352",91310,2020-07-07,1
"11353",91310,2020-07-08,1
"11354",91310,2020-07-09,1
"11355",91310,2020-07-14,1
"11356",91310,2020-07-23,1
"11357",91310,2020-07-24,1
"11358",91310,2020-07-25,1
"11359",91310,2020-07-27,1
"11360",91310,2020-07-28,1
"11361",91310,2020-07-30,1
"11362",91310,2020-08-07,1
"11363",91310,2020-08-12,1
"11364",91310,2020-08-13,1
"11365",91310,2020-08-15,1
"11366",91310,2020-08-25,1
"11367",91310,2020-08-26,1
"11368",91310,2020-08-28,2
"11369",91310,2020-08-29,1
"11370",91310,2020-09-01,1
"11371",91310,2020-09-02,3
"11372",91310,2020-09-03,1
"11373",91310,2020-09-10,6
"11374",91310,2020-09-11,3
"11375",91310,2020-09-18,2
"11376",91310,2020-09-21,2
"11377",91310,2020-09-22,6
"11378",91310,2020-09-23,4
"11379",91310,2020-09-24,1
"11380",91310,2020-09-29,3
"11381",91310,2020-09-30,2
"11382",91310,2020-10-01,4
"11383",91310,2020-10-02,2
"11384",91310,2020-10-07,5
"11385",91310,2020-10-09,2
"11386",91310,2020-10-17,1
"11387",91310,2020-10-29,1
"11388",91310,2020-11-05,1
"11389",91310,2020-11-06,1
"11390",91310,2020-11-18,1
"11391",91310,2021-01-12,1
"11392",91310,2021-02-03,1
"11393",91310,2021-02-08,3
"11394",91310,2021-02-09,1
"11395",91310,2021-03-17,1
"11396",91310,2021-04-06,1
"11397",91310,2021-04-20,3
"11398",91310,2021-07-08,1
"11399",91310,2021-07-14,1
"11400",91310,2021-07-17,1
"11401",91310,2021-07-19,4
"11402",91310,2021-07-20,2
"11403",91310,2021-08-02,2
"11404",91310,2021-08-12,1
"11405",91310,2021-08-24,3
"11406",91310,2021-08-26,1
"11407",91310,2021-08-28,1
"11408",91310,2021-09-09,2
"11409",91310,2021-09-10,3
"11410",91310,2021-09-11,1
"11411",91310,2021-09-14,1
"11412",91310,2021-09-15,1
"11413",91310,2021-09-16,1
"11414",91310,2021-09-21,1
"11415",91310,2021-09-23,1
"11416",91310,2021-09-24,2
"11417",91310,2021-10-11,2
"11418",91310,2021-10-13,2
"11419",91310,2021-11-04,3
"11420",91310,2021-11-16,1
"11421",91310,2021-11-18,1
"11422",91310,2021-11-23,1
"11423",91310,2021-11-29,1
"11424",91310,2021-11-30,1
"11425",91310,2021-12-02,4
"11426",91310,2021-12-07,5
"11427",91310,2021-12-08,1
"11428",91310,2021-12-20,1
"11429",91310,2021-12-22,2
"11430",91310,2022-01-03,1
"11431",91310,2022-01-04,1
"11432",91310,2022-01-05,1
"11433",91310,2022-01-13,1
"11434",91310,2022-01-26,1
"11435",91310,2022-04-16,1
"11436",91310,2022-04-18,1
"11437",91310,2022-08-03,1
"11438",91310,2022-08-05,1
"11439",91310,2022-09-02,1
"11440",91310,2022-09-24,3
"11441",91310,2022-09-26,1
"11442",91311,2018-01-06,1
"11443",91311,2018-01-10,2
"11444",91311,2018-01-16,2
"11445",91311,2018-01-25,1
"11446",91311,2018-02-07,1
"11447",91311,2018-02-08,2
"11448",91311,2018-02-19,1
"11449",91311,2018-03-09,1
"11450",91311,2018-03-12,1
"11451",91311,2018-03-13,1
"11452",91311,2018-04-06,1
"11453",91311,2018-04-18,1
"11454",91311,2018-06-29,1
"11455",91311,2018-07-16,1
"11456",91311,2018-10-23,1
"11457",91311,2018-12-13,1
"11458",91311,2018-12-28,1
"11459",91311,2019-01-07,1
"11460",91311,2019-01-08,1
"11461",91311,2019-03-19,1
"11462",91311,2019-04-03,1
"11463",91311,2019-04-04,1
"11464",91311,2019-04-19,1
"11465",91311,2019-05-24,1
"11466",91311,2019-06-10,1
"11467",91311,2019-06-14,1
"11468",91311,2019-06-17,1
"11469",91311,2019-06-23,1
